window_index,window_name,timestamp,daily_pnl,cumulative_window_pnl
0,window_000_2026-01-01_2026-01-17,2026-01-17,0.3949269549999913,0.3949269549999913
1,window_001_2026-01-02_2026-01-18,2026-01-18,1.5572023100000294,1.5572023100000294
2,window_002_2026-01-03_2026-01-19,2026-01-19,1.222057494999967,1.222057494999967
3,window_003_2026-01-04_2026-01-20,2026-01-20,2.0714365499999836,2.0714365499999836
4,window_004_2026-01-05_2026-01-21,2026-01-21,0.5548413249999883,0.5548413249999883
5,window_005_2026-01-06_2026-01-22,2026-01-22,1.1343766049999928,1.1343766049999928
6,window_006_2026-01-07_2026-01-23,2026-01-23,0.0640563049999952,0.0640563049999952
7,window_007_2026-01-08_2026-01-24,2026-01-24,0.4436829749999589,0.4436829749999589
8,window_008_2026-01-09_2026-01-25,2026-01-25,0.5801849949999993,0.5801849949999993
9,window_009_2026-01-10_2026-01-26,2026-01-26,0.924632834999988,0.924632834999988
10,window_010_2026-01-11_2026-01-27,2026-01-27,0.5197528000000142,0.5197528000000142
11,window_011_2026-01-12_2026-01-28,2026-01-28,1.0643873200000058,1.0643873200000058
12,window_012_2026-01-13_2026-01-29,2026-01-29,0.3578511099999875,0.3578511099999875
13,window_013_2026-01-14_2026-01-30,2026-01-30,-1.1423229400000137,-1.1423229400000137
14,window_014_2026-01-15_2026-01-31,2026-01-31,-1.5814983650000043,-1.5814983650000043
